Latitude,Longitude,Depth to water (ft),lastLoc
33.09861111111111,-117.01694444444445,12.87,3305551170101d
33.10666666666667,-91.92444444444445,84.25,3305551170101d
33.172777777777775,-80.03833333333333,67.71,3306240915528d
33.19583333333333,-92.69166666666668,96.32,3310220800218d
33.21555555555556,-92.81027777777777,277.05,3311450924130d
33.23166666666667,-92.53999999999999,247.85,3312560924837d
33.24388888888889,-92.68861111111111,230.82,3313540923224d
33.25194444444445,-84.28833333333333,15.38,3314380924119d
33.26916666666666,-93.24694444444445,263.28,3315070841718d
33.28638888888889,-81.96027777777778,131.08,3316090931449d
33.32888888888889,-82.04861111111111,214.95,3317110815737d
33.35861111111111,-82.0261111111111,68.0,3319440820255d
33.36805555555556,-92.72500000000001,130.0,3321310820134d
33.3725,-81.97944444444444,41.81,3322050924330d
33.3725,-81.97944444444444,35.73,3322210815846d
33.42444444444444,-82.00916666666667,6.44,3322210815846d
33.463055555555556,-117.10305555555556,81.1,3325280820033d
33.463055555555556,-117.10305555555556,65.2,3327471170611d
33.471944444444446,-117.11833333333333,31.17,3327471170611d
33.471944444444446,-117.11833333333333,32.3,3328191170706d
33.471944444444446,-117.11833333333333,32.68,3328191170706d
33.4825,-117.07583333333334,307.72,3328191170706d
33.4825,-117.07583333333334,324.39,3328571170433d
33.500277777777775,-117.01583333333333,303.62,3328571170433d
33.500277777777775,-117.01583333333333,314.75,3330011170057d
33.522777777777776,-116.66111111111111,63.65,3330011170057d
33.53444444444444,-87.5461111111111,42.04,3331221163940d
33.5475,-90.54388888888889,29.0,3332040873246d
33.70194444444445,-84.43,5.21,3332510903238d
33.70416666666667,-89.74083333333333,11.18,3342070842548d
33.85916666666667,-117.23472222222222,41.34,3342150894427d
33.882777777777775,-91.25638888888889,28.72,3351331171405d
33.893055555555556,-78.5886111111111,15.57,3352580911523d
33.89333333333333,-82.36277777777777,38.71,3353350783519d
33.90222222222222,-117.26222222222222,10.03,3353360822146d
33.921388888888885,-84.27777777777777,8.17,3354081171544d
33.93666666666666,-84.52472222222222,22.12,3355170841640d
33.94138888888889,-78.19833333333334,8.07,3356120843129d
33.94138888888889,-78.19833333333334,4.16,3356290781154d
33.94194444444444,-78.01,21.75,3356290781154d
33.94194444444444,-78.01,20.81,3356310780036d
33.98027777777778,-78.09527777777777,43.67,3356310780036d
33.98638888888889,-90.92750000000001,0.6,3358490780543d
33.99138888888889,-87.03611111111111,39.99,3359110905539d
34.01166666666666,-95.08833333333332,73.07,3359290870210d
34.01277777777778,-117.03555555555555,348.32,3400420950518d
34.01277777777778,-117.03555555555555,348.69,3400461170208d
34.025,-117.09694444444445,300.43,3400461170208d
34.025,-117.09694444444445,300.05,3401301170549d
34.025,-117.09694444444445,301.16,3401301170549d
34.026666666666664,-117.06083333333333,262.24,3401301170549d
34.026666666666664,-117.06083333333333,263.87,3401361170339d
34.03444444444444,-83.2238888888889,14.09,3401361170339d
34.04666666666667,-117.03583333333333,345.71,3402040831326d
34.04666666666667,-117.03583333333333,341.15,3402481170209d
34.06888888888889,-117.28138888888888,180.26,3402481170209d
34.06888888888889,-117.28138888888888,193.21,3404081171653d
34.071111111111115,-78.14500000000001,8.95,3404081171653d
34.08416666666667,-117.17805555555556,210.03,3404160780842d
34.08416666666667,-117.17805555555556,210.06,3405031171041d
34.08916666666667,-117.35555555555555,277.18,3405031171041d
34.08916666666667,-117.35555555555555,284.33,3405211172120d
34.08916666666667,-117.35555555555555,296.13,3405211172120d
34.094722222222224,-117.12888888888888,284.08,3405211172120d
34.094722222222224,-117.12888888888888,280.07,3405411170744d
34.10416666666667,-117.28583333333333,201.4,3405411170744d
34.10416666666667,-117.28583333333333,158.57,3406151171709d
34.11527777777778,-117.3111111111111,284.64,3406151171709d
34.118611111111115,-117.27416666666666,252.85,3406551171840d
34.118611111111115,-117.27416666666666,249.34,3407071171627d
34.12111111111111,-117.385,412.08,3407071171627d
34.12111111111111,-117.385,411.99,3407161172306d
34.13444444444444,-117.3711111111111,347.47,3407161172306d
34.13444444444444,-117.3711111111111,347.51,3408041172216d
34.169444444444444,-102.40222222222222,152.48,3408041172216d
34.24805555555556,-91.9113888888889,275.54,3410101022408d
34.41111111111111,-80.74416666666667,52.38,3414530915441d
34.41111111111111,-80.74416666666667,46.04,3424400804439d
34.424166666666665,-96.82583333333334,32.89,3424400804439d
34.44166666666666,-119.73972222222223,111.22,3425270964933d
34.442499999999995,-96.82888888888888,73.51,3426301194423d
34.455000000000005,-87.48222222222222,10.05,3426330964944d
34.489444444444445,-84.85444444444444,23.65,3427180872856d
34.50472222222222,-96.9375,56.54,3429220845116d
34.50611111111111,-96.94916666666667,30.94,3430170965615d
34.513333333333335,-93.05111111111111,114.87,3430220965657d
34.518055555555556,-80.28916666666666,12.75,3430480930304d
34.51888888888889,-90.77388888888889,15.85,3431050801721d
34.53111111111111,-88.35833333333333,71.75,3431080904626d
34.57916666666667,-96.8286111111111,135.34,3431520882130d
34.5825,-96.67916666666667,112.77,3434450964943d
34.620555555555555,-82.48222222222222,3.19,3434570964045d
34.62388888888889,-93.80499999999999,48.38,3437140822856d
34.63138888888889,-106.71833333333333,133.36,3437260934818d
34.63138888888889,-106.71833333333333,132.99,3437531064306d
34.666666666666664,-81.41666666666667,85.87,3437531064306d
34.720555555555556,-83.72555555555556,5.04,3440000812500d
34.725833333333334,-80.84333333333333,31.09,3443140834332d
34.725833333333334,-80.84333333333333,33.9,3443330805036d
34.74194444444444,-106.65944444444445,196.79,3443330805036d
34.74194444444444,-106.65944444444445,196.43,3444311063934d
34.75555555555555,-79.46944444444445,18.76,3444311063934d
34.76222222222222,-79.44361111111111,28.71,3445200792810d
34.780833333333334,-91.5975,128.84,3445440792637d
34.78138888888889,-91.64083333333333,114.21,3446510913551d
34.847500000000004,-78.0225,6.8,3446530913827d
34.847500000000004,-83.07166666666666,28.81,3450510780121d
34.84916666666667,-91.88222222222221,123.43,3450510830418d
34.862500000000004,-81.84138888888889,40.62,3450570915256d
34.90083333333333,-85.26666666666667,13.97,3451450815029d
34.93416666666666,-110.75083333333333,267.63,3454030851600d
34.93583333333333,-80.6975,31.62,3456031104503d
34.93583333333333,-80.6975,44.07,3456090804151d
34.969166666666666,-77.5038888888889,9.87,3456090804151d
34.97,-79.5261111111111,30.4,3458090773014d
34.975,-81.0586111111111,25.94,3458120793134d
34.975,-81.0586111111111,23.58,3458300810331d
35.00055555555556,-110.59861111111111,36.63,3458300810331d
35.068333333333335,-89.74555555555555,97.16,3500021103555d
35.07055555555556,-104.81416666666667,370.83,3504060894444d
35.085,-89.8086111111111,153.63,3504141044851d
35.12638888888889,-89.9925,97.82,3505060894831d
35.13055555555555,-85.08277777777778,12.79,3507350895933d
35.149166666666666,-89.98722222222223,30.51,3507500850458d
35.15,-89.80638888888889,103.98,3508570895914d
35.16638888888889,-110.93972222222223,228.06,3509000894823d
35.172777777777775,-111.10499999999999,614.69,3509591105623d
35.1875,-85.04722222222222,10.34,3510221110618d
35.189166666666665,-83.91388888888889,7.1,3511150850250d
35.190555555555555,-79.5038888888889,84.75,3511210835450d
35.19222222222222,-79.46472222222222,53.29,3511260793014d
35.19611111111111,-85.2075,63.53,3511320792753d
35.20388888888889,-111.03916666666666,329.59,3511460851227d
35.21333333333334,-85.22111111111111,19.81,3512141110221d
35.21888888888889,-98.57111111111111,69.12,3512480851316d
35.24111111111111,-85.01,6.49,3513080983416d
35.28583333333333,-82.72805555555556,15.36,3514280850036d
35.30222222222222,-82.6286111111111,31.28,3517090824341d
35.31361111111111,-78.2775,7.6,3518080823743d
35.336666666666666,-81.26194444444444,42.23,3518490781639d
35.336666666666666,-81.26194444444444,36.63,3520120811543d
35.3875,-82.81222222222222,5.0,3520120811543d
35.420833333333334,-86.0213888888889,18.7,3523150824844d
35.45722222222223,-90.87527777777777,111.33,3525150860117d
35.52638888888889,-80.87833333333333,19.94,3527260905231d
35.52638888888889,-80.87833333333333,19.83,3531350805242d
35.52638888888889,-80.87833333333333,24.71,3531350805242d
35.53861111111111,-77.26055555555556,7.76,3531350805242d
35.58583333333333,-78.67805555555556,7.77,3532190771538d
35.58583333333333,-78.67805555555556,28.96,3535090784041d
35.60166666666667,-90.85194444444444,126.57,3535090784041d
35.64083333333333,-76.49166666666667,1.82,3536060905107d
35.6425,-78.82583333333334,24.82,3538270762930d
35.64416666666666,-89.82638888888889,202.12,3538330784933d
