Latitude,Longitude,Depth to water (ft),lastLoc,Address
43.40416667,-88.92388889,20.81,4323100703933d,Wisconsin
43.38611111,-70.65916667,18.05,4321480762251d,Maine
43.36333333,-76.38083333,21.78,4321480762251d,New York
43.36333333,-76.38083333,21.4,4318410745732d,New York
43.31138889,-74.95888889,31.19,4318101134136d,New York
43.30277778,-113.6933333,980.42,4315400714528d,Idaho
43.26111111,-71.75777778,30.02,4315090740932d,New Hampshire
43.2525,-74.15888889,27.71,4314281001927d,New York
43.24111111,-100.3241667,21.8,4314100772327d,South Dakota
43.23611111,-77.39083333,0.95,4313590752355d,New York
43.23305556,-75.39861111,2.86,4313120894753d,New York
43.22,-89.79805556,11.67,4313080785445d,Wisconsin
43.21888889,-78.9125,2.39,4312270752333d,New York
43.2075,-75.3925,43.45,4311581004610d,New York
43.19944444,-100.7694444,85.92,4311200712842d,South Dakota
43.18888889,-71.47833333,8.27,4310450781604d,New Hampshire
43.17916667,-78.26777778,21.38,4310300731921d,New York
43.175,-73.3225,5.72,4309300742903d,New York
43.15833333,-74.48416667,3.67,4309240782413d,New York
43.15666667,-78.40361111,40.08,4309130771031d,New York
43.15361111,-77.17527778,9.99,4307390785027d,New York
43.1275,-78.84083333,0.48,4307261010335d,New York
43.12388889,-101.0597222,28.43,4307121004213d,South Dakota
43.12,-100.7036111,52.27,4305100934251d,South Dakota
43.08611111,-93.71416667,3.53,4303371002432d,Iowa
43.06027778,-100.4088889,27.72,4303270734754d,South Dakota
43.0575,-73.79833333,40.32,4303141003720d,New York
43.05388889,-100.6222222,45.04,4303110770515d,South Dakota
43.05305556,-77.0875,11.86,4302520772834d,New York
43.04777778,-77.47611111,8.44,4302430761804d,New York
43.04527778,-76.30111111,11.7,4302430761804d,New York
43.04527778,-76.30111111,10.83,4302030915012d,New York
43.03416667,-91.83666667,7.98,4301541004118d,Iowa
43.03166667,-100.6883333,9.37,4301531005310d,South Dakota
43.03138889,-100.8861111,21.05,4301460781013d,South Dakota
43.02944444,-78.17027778,8.78,4301210745230d,New York
43.0225,-74.875,47.74,4301200732322d,New York
43.02222222,-73.38944444,10.87,4300560753541d,New York
43.01555556,-75.59472222,6.25,4300271023118d,New York
43.0075,-102.5216667,53.77,4300271023118d,South Dakota
43.0075,-102.5216667,42.25,4300060784641d,South Dakota
43.00166667,-78.77805556,18.89,4259130780855d,New York
42.98694444,-78.14861111,34.65,4258460755045d,New York
42.97944444,-75.84583333,124.15,4258440775329d,New York
42.97888889,-77.89138889,41.29,4258400771339d,New York
42.97777778,-77.2275,2.68,4258330775039d,New York
42.97583333,-77.84416667,10.15,4258210764613d,New York
42.9725,-76.77027778,0.51,4258030771512d,New York
42.9675,-77.25333333,2,4257040783606d,New York
42.95111111,-78.60166667,10.93,4256240742106d,New York
42.94,-74.35166667,10.32,4256070881730d,New York
42.93527778,-88.29166667,7.41,4255110742540d,Wisconsin
42.91972222,-74.42777778,32.99,4254480763500d,New York
42.91333333,-76.58333333,10.02,4254320732334d,New York
42.90888889,-73.39277778,13.63,4250480734725d,New York
42.84666667,-73.79027778,1.53,4250330745324d,New York
42.8425,-74.89,104.16,4248590735855d,New York
42.81638889,-73.98194444,5.23,4248410710041d,New York
42.81138889,-71.01138889,11.24,4245600742741d,Massachusetts
42.76666667,-74.46138889,27.8,4245200705624d,New York
42.75555556,-70.94,4.69,4244520760819d,Massachusetts
42.74777778,-76.13861111,4.26,4244060780753d,New York
42.735,-78.13138889,2.09,4243470765302d,New York
42.72972222,-76.88388889,1.51,4243110734239d,New York
42.71972222,-73.71083333,6.06,4242490724931d,New York
42.71361111,-72.82527778,19.24,4242040720152d,Massachusetts
42.70111111,-72.03111111,4.44,4241580762519d,Massachusetts
42.69944444,-76.42194444,19.22,4241360750251d,New York
42.69333333,-75.0475,5.85,4241150734953d,New York
42.6875,-73.83138889,7.63,4240570720103d,New York
42.6825,-72.0175,25.16,4240550714353d,Massachusetts
42.68194444,-71.73138889,11.88,4240240765748d,Massachusetts
42.67333333,-76.96333333,4.37,4238270760359d,New York
42.64083333,-76.06638889,4.81,4238100724354d,New York
42.63611111,-72.73166667,12.68,4237430780708d,Massachusetts
42.62861111,-78.11888889,12.52,4237300985600d,New York
42.625,-98.93333333,32.13,4237150720428d,Nebraska
42.62083333,-72.07444444,3.42,4235340734234d,Massachusetts
42.59277778,-73.70944444,35.5,4235300741917d,New York
42.59166667,-74.32138889,9.3,4235060704914d,New York
42.585,-70.82055556,1.01,4234410721707d,Massachusetts
42.57805556,-72.28527778,6.84,4234230833240d,Massachusetts
42.57305556,-83.54444444,4.34,4234100754028d,Michigan
42.56944444,-75.67444444,34.29,4234010710938d,New York
42.56694444,-71.16055556,7.03,4232570712437d,Massachusetts
42.54916667,-71.41027778,10.72,4231480983006d,Massachusetts
42.53,-98.50166667,42.62,4231430765826d,Nebraska
42.52861111,-76.97388889,3.49,4230580710254d,New York
42.51611111,-71.04833333,5.77,4229250882554d,Massachusetts
42.49027778,-88.43166667,-10.22,4229200762753d,Illinois
42.48888889,-76.46472222,3.99,4229060721243d,New York
42.485,-72.21194444,13.09,4229020764758d,Massachusetts
42.48388889,-76.79944444,27.76,4228580882356d,New York
42.48277778,-88.39888889,30.92,4228490995215d,Illinois
42.48027778,-99.87083333,6.56,4228480881910d,Nebraska
42.48,-88.31944444,16.64,4228480881910d,Illinois
42.48,-88.31944444,10.61,4228450882854d,Illinois
42.47916667,-88.48166667,28.14,4228280883333d,Illinois
42.47444444,-88.55916667,223.23,4228120712444d,Illinois
42.47,-71.41222222,16.54,4228020970316d,Massachusetts
42.46722222,-97.05444444,3.65,4227450731120d,Nebraska
42.4625,-73.18888889,14.36,4227330725326d,Massachusetts
42.45916667,-72.89055556,4.5,4227100764629d,Massachusetts
42.45277778,-76.77472222,6.53,4227040883853d,New York
42.45111111,-88.64805556,7.98,4227020790051d,Illinois
42.45055556,-79.01416667,28.54,4226220734109d,New York
42.43944444,-73.68583333,9.41,4224450772033d,New York
42.4125,-77.3425,7.52,4224330881406d,New York
42.40916667,-88.235,36.96,4223580883602d,Illinois
